lat,lng,max temp,humidity,cloudiness,wind speed,country,date
22.2855,114.1577,289.4,85,100,4.02,HK,1644185294
42.6001,-73.9662,269.41,67,78,0.89,US,1644185464
-42.8794,147.3294,290.43,78,20,0.45,AU,1644185171
22.0752,-159.319,299.33,72,75,1.34,US,1644185466
-34.4187,19.2345,293.04,95,11,2.53,ZA,1644185468
-6.6447,-51.995,297.29,92,87,0.71,BR,1644185469
52.225,141.5131,256.36,86,100,3.22,RU,1644185471
-34.5833,150.8552,292.15,89,94,4.47,AU,1644185472
28.3669,121.36,279.21,93,100,3.32,CN,1644185473
21.4447,-157.8378,300.99,69,75,3.58,US,1644185476
-54.8,-68.3,287.94,81,100,3.04,AR,1644184885
-37.6167,-73.65,290.96,74,0,6.21,CL,1644185478
-46.1927,168.8643,286.19,53,4,0.87,NZ,1644185480
37.0209,-93.206,282.55,47,93,0.89,US,1644185482
-21.2078,-159.775,301.18,83,65,6.69,CK,1644185227
-0.9131,122.8766,297.55,81,100,0.86,ID,1644185485
-2.0833,101.3833,290.03,91,99,0.65,ID,1644185486
42.7762,-9.0603,283.62,79,36,3.82,ES,1644185488
14.3122,121.1114,298.21,81,95,6.06,PH,1644185489
19.2952,-70.2554,298.53,92,75,1.69,DO,1644185306
6.7085,121.9711,298.71,82,100,1.79,PH,1644185491
13.0833,109.3,294.65,92,88,2.24,VN,1644185493
35.1473,-107.8514,277.28,30,0,4.63,US,1644185494
30.4323,116.2922,273.85,100,100,2.25,CN,1644185496
70.3705,31.1107,268.26,80,76,9.31,NO,1644185413
71.2906,-156.7887,241.16,68,0,6.17,US,1644185504
69.3,139.9,235.77,98,69,2.42,RU,1644185505
72.7868,-56.1549,247.46,99,100,4.48,GL,1644185507
69.4058,86.1778,236.18,100,21,1.88,RU,1644185508
-33.918,25.5701,296.54,76,100,1.83,ZA,1644185510
-33.9258,18.4232,292.19,78,18,2.55,ZA,1644185312
73.5069,80.5464,244.64,99,94,5.11,RU,1644185513
19.7297,-155.09,297.73,83,100,4.63,US,1644185216
-33.5906,26.891,296.82,82,87,6.86,ZA,1644185515
41.1415,-73.3579,272.58,67,0,2.68,US,1644185293
24.8,125.2833,289.3,72,75,3.6,JP,1644185518
77.484,-69.3632,247.87,60,30,3.18,GL,1644185519
61.67,96.37,253.16,99,99,0.99,RU,1644185521
69.4865,88.3972,239.97,99,55,0.73,RU,1644185522
-53.15,-70.9167,294.16,72,75,3.6,CL,1644185517
-20.9319,-54.9614,298.59,74,100,4.16,BR,1644185525
44.1788,-77.3705,272.59,66,54,1.34,CA,1644185240
-6.2222,-57.7528,299.26,86,99,0.52,BR,1644185527
68.75,161.3,237.93,100,22,0.79,RU,1644185529
3.0707,172.7902,300.85,76,38,7.54,KI,1644185530
42.097,-79.2353,274.1,32,0,4.63,US,1644185425
