lat,lng,max temp,humidity,cloudiness,wind speed,country,date
53.88,67.4158,256.4,88,34,2.69,KZ,1644185630
-0.7393,-90.3518,303.13,88,43,2.68,EC,1644185634
-23.1203,-134.9692,299.4,70,3,7.77,PF,1644185399
62.55,155.55,247.81,66,0,0.54,RU,1644185636
-34.6667,-54.9167,293.28,69,77,9.08,UY,1644185638
-53.15,-70.9167,294.16,72,75,3.6,CL,1644185578
-33.9258,18.4232,292.19,78,18,2.55,ZA,1644185520
-21.3585,55.7679,297.92,81,100,5.88,RE,1644185641
42.6001,-73.9662,269.41,67,78,0.89,US,1644185464
42.097,-79.2353,274.1,32,0,4.63,US,1644185645
28.017,-97.5169,292.2,59,51,3.03,US,1644185646
40.8843,-72.9373,272.5,70,0,0.45,US,1644185648
-13.8483,136.4192,299.94,80,83,0.8,AU,1644185649
55.2834,-114.769,278.32,69,74,7.03,CA,1644185651
34.9833,139.8667,275.16,55,67,5.81,JP,1644185652
43.4039,13.5598,284.03,44,85,2.47,IT,1644185653
48.0056,91.6419,247.39,71,14,1.67,MN,1644185655
-38.0023,-57.5575,291.41,83,100,10.28,AR,1644185440
5.4112,100.3354,298.12,92,40,2.57,MY,1644185374
19.7297,-155.09,297.73,83,100,4.63,US,1644185658
-46.2817,169.8464,287.55,73,3,1.95,NZ,1644185483
55.7435,-97.8558,254.25,86,7,3.53,CA,1644185661
60.8953,131.9608,241.22,100,100,0.55,RU,1644185662
70.4692,-68.5914,238.28,68,0,3.6,CA,1644185664
57.79,-152.4072,275.88,60,0,6.17,US,1644185665
47.6666,-52.7314,263.47,81,100,2.24,CA,1644185666
-24.7911,-50.0119,293.65,81,62,0.44,BR,1644185658
39.1502,-123.2078,297.66,28,0,0,US,1644185582
49.2,-113.3019,282.2,29,75,8.23,CA,1644185670
13.2167,-59.5167,299.49,73,75,7.2,BB,1644185659
-25.2406,130.9889,295.15,37,0,3.47,AU,1644185672
-45.4167,167.7167,286.23,58,23,0.38,NZ,1644185674
-8.65,115.2167,298.96,94,40,1.03,ID,1644185674
18.7333,-103.6833,305.86,38,21,3.1,MX,1644185676
22.2855,114.1577,289.4,85,100,4.02,HK,1644185518
71.2906,-156.7887,241.16,68,0,6.17,US,1644185680
-9.8,-139.0333,298.64,78,9,8.11,PF,1644185597
-33.918,25.5701,296.54,68,0,2.57,ZA,1644185682
33.7333,135.9833,276.99,74,21,2.65,JP,1644185684
62.2266,-6.589,274.66,55,89,16.01,FO,1644185685
-42.8794,147.3294,290.52,77,20,0.45,AU,1644185406
-33.65,115.3333,284.87,66,63,8.1,AU,1644185666
-21.2,-175.2,298.24,100,100,7.2,TO,1644185405
-28.783,32.0377,294.68,93,38,0.69,ZA,1644185690
-54.8,-68.3,289.94,81,100,3.04,AR,1644185444
71.9667,102.5,246.11,98,99,3.89,RU,1644185692
-33.0117,17.9442,290.62,96,25,4.35,ZA,1644185693
22.0752,-159.319,299.33,73,75,1.34,US,1644185695
-16.9167,145.7667,299.85,85,100,5.14,AU,1644185696
-12.1167,-73,298.23,77,100,0.33,PE,1644185698
